"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Covered Capacity (%)"
"facility";"E";"UGS Grijpskerk L-gas";"15.6388";"65.57";"-0.37";"0";"0";"0";"89";"23.85";"154.06";"620.2";"0";"0";"0"
"facility";"E";"UGS Norg (Langelo) L-gas";"41.2766";"69.56";"-0.63";"0";"0";"0";"373.5";"59.3385";"448.75";"801.45";"0";"0";"0"
"company";"C";"TAQA Gas Storage";"34.7503";"72.17";"-0.58";"0";"0";"0";"267.8";"48.1515";"438.85";"493.95";"48.1515";"0";"0"
"facility";"C";"UGS Bergermeer";"34.7503";"72.17";"-0.58";"0";"0";"0";"267.8";"48.1515";"438.85";"493.95";"48.1515";"0";"0"
"company";"C";"TAQA Piek Gas";"4.9354";"98.71";"0";"0";"0";"0";"0";"5";"40";"360";"5";"0";"0"
"facility";"C";"UGS Alkmaar";"4.9354";"98.71";"0";"0";"0";"0";"0";"5";"40";"360";"5";"0";"0"
"country";"C";"Poland";"31.8625";"84.94";"-0.58";"206.2";"15.45";"0";"217.2";"37.5109";"359.01";"595.31";"0";"0";"100"
"company";"C";"GSP";"31.8625";"84.94";"-0.58";"0";"0";"0";"217.2";"37.5109";"359.01";"595.31";"0";"0";"0"
"facility";"N";"GSP historical data prior to 4 Feb 2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Wierzchowice";"14.5961";"99.1";"-0.03";"0";"0";"0";"4.7";"14.729";"107.52";"158.4";"0";"0";"0"
"facility";"C";"VGS GIM Kawerna (Kosakowo, Mogilno)";"7.4183";"75.85";"-0.92";"0";"0";"0";"89.6";"9.7807";"133.7";"307.56";"0";"0";"0"
"facility";"C";"VGS GIM Sanok (Brzeznica, Husow, Strachocina, Swarzow)";"9.8481";"75.75";"-0.95";"0";"0";"0";"122.9";"13.0012";"117.79";"129.35";"0";"0";"0"
"country";"C";"Portugal";"3.436";"96.25";"0.64";"64.48";"5.33";"22.87";"0";"3.57";"24";"85.68";"0";"0";"100"
"company";"C";"REN Armazenagem";"3.436";"96.25";"0.64";"0";"0";"22.87";"0";"3.57";"24";"85.68";"0";"0";"0"
"facility";"C";"UGS Carriço";"3.436";"96.25";"0.64";"0";"0";"22.87";"0";"3.57";"24";"85.68";"0";"0";"0"
"country";"C";"Romania";"24.2515";"71.62";"-0.66";"112.35";"21.59";"0";"223";"33.8636";"240.75";"341.44";"0";"0";"100"
"company";"C";"Depomures";"2.0111";"63.75";"-0.66";"0";"0";"0";"20.6";"3.1546";"0";"29";"0";"0";"0"
"facility";"C";"UGS Târgu Mureş";"2.0111";"63.75";"-0.66";"0";"0";"0";"20.6";"3.1546";"0";"29";"0";"0";"0"
"company";"C";"Depogaz Ploiești";"22.2404";"72.42";"-0.66";"0";"0";"0";"202.4";"30.709";"240.75";"312.44";"0";"0";"0"
"facility";"C";"UGS Bălăceanca ";"0.4471";"83.58";"-1.2";"0";"0";"0";"6.4";"0.535";"10.7";"12.84";"0";"0";"0"
"facility";"C";"UGS Bilciuresti";"9.3166";"66.47";"-0.68";"0";"0";"0";"95";"14.017";"107";"149.8";"0";"0";"0"
"facility";"N";"UGS Cetatea de Baltă ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Ghercesti";"2.8254";"105.62";"-0.47";"0";"0";"0";"12.7";"2.675";"21.4";"21.4";"0";"0";"0"
"facility";"C";"UGS Sărmășel ";"7.3973";"76.81";"-0.55";"0";"0";"0";"53.4";"9.63";"69.55";"80.25";"0";"0";"0"
"facility";"C";"UGS Urziceni";"2.254";"58.51";"-0.91";"0";"0";"0";"35";"3.852";"32.1";"48.15";"0";"0";"0"
"country";"C";"Slovakia";"27.478";"74.53";"-0.2";"59.16";"46.45";"83.97";"157.2";"36.869";"410.96";"491.56";"0";"0";"100"
"company";"C";"Nafta";"21.7589";"73.73";"-0.23";"0";"0";"57.96";"125.2";"29.51";"338.3";"418.9";"29.0558";"0.4542";"0"
"facility";"C";"UGS Láb (incl. Gajary baden)";"21.7589";"73.73";"-0.23";"0";"0";"57.96";"125.2";"29.51";"338.3";"418.9";"29.0558";"0.4542";"0"
"company";"C";"Pozagas";"5.719";"77.72";"-0.08";"0";"0";"26.01";"32";"7.359";"72.66";"72.66";"7.13";"0.229";"0"
"facility";"C";"UGS Lab IV - Pozagas";"5.719";"77.72";"-0.08";"0";"0";"26.01";"32";"7.359";"72.66";"72.66";"7.13";"0.229";"0"
"country";"E";"Spain";"28.943";"84.9";"-0.33";"380.61";"7.6";"0";"113.7";"34.0904";"166.57";"241.37";"0";"0";"100"
"company";"E";"Enagás GTS";"28.943";"84.9";"-0.33";"0";"0";"0";"113.7";"34.0904";"166.57";"241.37";"34.0295";"0.0608";"0"
"facility";"E";"VGS Enagás Basic Underground Storage (Serrablo, Yela, Gaviota, Marismas)";"28.943";"84.9";"-0.33";"0";"0";"0";"113.7";"34.0904";"166.57";"241.37";"34.0295";"0.0608";"0"
"country";"C";"Sweden";"0.0817";"80.34";"-1.57";"8.46";"0.97";"0";"0";"0.1017";"6.5";"8.59";"0";"0";"100"
"company";"C";"Swedegas";"0.0817";"80.34";"-1.57";"0";"0";"0";"0";"0.1017";"6.5";"8.59";"0";"0";"0"
"facility";"C";"UGS Skallen";"0.0817";"80.34";"-1.57";"0";"0";"0";"0";"0.1017";"6.5";"8.59";"0";"0";"0"
"country";"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Centrica Storage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Rough";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"EDF";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hill Top Farm (Cheshire)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holehouse Farm Storage (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Humbly Grove Energy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Humbly Grove";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Scottish Power";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hatfield Moor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"SSE Gas Storage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Aldbrough I";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hornsea (Atwick)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Storengy UK";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Stublach";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Uniper Energy Storage Ltd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holford";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Non-EU";"E";"Non-EU";"75.9133";"22.95";"-0.32";"221.64";"0";"45.19";"1095.2";"330.7698";"2838.62";"1918.55";"0";"0";"0"
"country";"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Srbijagas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Banatski Dvor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"C";"Ukraine";"70.7537";"22.05";"-0.26";"221.64";"31.92";"0";"845.3";"320.9062";"2318.69";"1416.77";"0";"0";"0"
"company";"C";"Ukrtransgaz";"70.7537";"22.05";"-0.26";"0";"0";"0";"845.3";"320.9062";"2318.69";"1416.77";"0";"0";"0"
"facility";"C";"VGS Ukraine (all storage facilities)";"70.7537";"22.05";"-0.26";"0";"0";"0";"845.3";"320.9062";"2318.69";"1416.77";"0";"0";"0"
"country";"E";"United Kingdom (Post-Brexit)";"5.1596";"52.31";"-2.07";"0";"0";"45.19";"249.8";"9.8636";"519.93";"501.78";"0";"0";"0"
"company";"N";"Centrica Storage (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Rough (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"16.5";"0";"0";"0";"0";"0"
"company";"N";"EDF (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hill Top Farm (Cheshire) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0.649";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holehouse Farm Storage (decommissioned) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Humbly Grove Energy (Post-Brexit)";"2.0989";"74.56";"0";"0";"0";"0";"0";"2.815";"49";"79";"0";"0";"0"
"facility";"C";"UGS Humbly Grove (Post-Brexit)";"2.0989";"74.56";"0";"0";"0";"0";"0";"2.815";"49";"79";"0";"0";"0"
"company";"N";"Scottish Power (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hatfield Moor (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0.77";"0";"0";"0";"0";"0"
"company";"N";"SSE Gas Storage (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Aldbrough I (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"3.245";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hornsea (Atwick) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"3.41";"0";"0";"0";"0";"0"
"company";"C";"Storengy UK (Post-Brexit)";"2.3226";"52.79";"-0.68";"0";"0";"45.19";"75.3";"4.4";"182";"182";"0";"0";"0"
"facility";"C";"UGS Stublach (Post-Brexit)";"2.3226";"52.79";"-0.68";"0";"0";"45.19";"75.3";"4.4";"182";"182";"0";"0";"0"
"company";"E";"Uniper Energy Storage Ltd (Post-Brexit)";"0.738";"27.87";"-6.59";"0";"0";"0";"174.6";"2.6486";"288.93";"240.78";"0";"0";"0"
"facility";"E";"UGS Holford (Post-Brexit)";"0.738";"27.87";"-6.59";"0";"0";"0";"174.6";"2.6486";"288.93";"240.78";"0";"0";"0"
